name,url,price,country,region,origin_category,total_score,cupper_correction,cupping_dry_fragrance,cupping_wet_aroma,cupping_brightness,cupping_flavor,cupping_body,cupping_finish,cupping_sweetness,cupping_clean_cup,cupping_complexity,cupping_uniformity,flavor_floral,flavor_honey,flavor_sugars,flavor_caramel,flavor_fruits,flavor_citrus,flavor_berry,flavor_cocoa,flavor_nuts,flavor_rustic,flavor_spice,flavor_flavor_body,process_method,cultivar,cultivar_detail,farm_gate,processing,drying_method,arrival_date,lot_size,bag_size,packaging,grade,appearance,roast_recommendations,type,recommended_for_espresso,short_description,full_cupping_notes,farm_notes,watchlist_match,watchlist_farm,watchlist_tier,watchlist_credential_type,watchlist_credential_detail,watchlist_notes,watchlist_url
Flores Bajawa Eko Heto,https://www.sweetmarias.com/flores-bajawa-eko-heto-8565.html,$8.65,Indonesia (Flores),"Eko Heto, Bajawa, Ngada Regency",Indonesia & SE Asia,87,2,8.3,8.4,8.3,8.5,9.2,8.2,8.3,8.5,8.3,9,0,0,3,3,1,0,0,4.5,0,1,0,4,Wet Process (Washed),Typica Types,Linie-S795,Yes,Wet Process (Washed),Patio Sun-Dried,December 2025 Arrival,20,60 KG,GrainPro Liner,Grade 1,".4 d/300gr, 15-17 Screen",City+ to Full City+,Farm Gate,Yes,"Thick in terms of body and rich chocolate tones, heavy on the palate, and bittersweetness shadows the cup flavors and mild top notes through a long lasting finish. City+ to Full City+. Good for espresso.","Brewing this wet process Flores, we really enjoyed the bittersweet tones, simple and crowd pleasing, with a creamy body that enhances the experience. The grinds had an overlay of pungent dark cocoa, with accents of rustic natural sugars, and dried fruit hint. As is usually the case, pouring hot water draws out the sweetness in the steam, with notes of dark toffee and malted caramel. The interplay of sweet and bittering notes shows best in the middle roast levels, City+ to Full City. The cup is thick in terms of body and rich chocolate tones, heavy on the palate, and bittersweetness shadows the cup flavors through a long lasting finish. In between you'll find faint dried fruit accents lurking in the background that bring a soft acidic impression to the lightest roasts, but I wouln't call it ""bright"". Dark roast fans will find a daily drinker in Eko Heto as well, though I found the smokey aspects a bit cumbersome. The dark roasts wield sharp baking chocolate bittering notes that fade to spiced dark cocoa, and scorched cedar in the aftertaste.","This lot is a blend of coffees from smallholder farmers in Eko Heto area, not too far from Bajawa town. The farmers are part of a coffee program that was started by an exporter who has worked to build local milling sites situated around the highland regions. This site is mostly supplied by a pair of collectors who operate as an intermediary of sorts. They register every farmers they buy coffee from with the program in order to track payments and deliveries. They also help facilitate support by distributing seedlings, as well as offering farmer training. The coffee is wet processed using small pulper machines, then fermented for 24-36 hours to break down the sticky fruit mucilage that's stuck to the seeds, which is then washed away. They've built drying tables using split bamboo that are really nice for facilitating even drying because of the way they allow airflow. An interesting fact about coffee production in this region is that it's typically grown using organic methods, though they are not certified at this time.",,,,,,,
Flores Dry Process Manggarai Colol Robusta,https://www.sweetmarias.com/flores-dry-process-manggarai-colol-robusta-8569.html,$7.75,Indonesia (Flores),"Colol Village, East Manggarai",Indonesia & SE Asia,86.4,7.5,7.2,7.4,6.5,7.5,10,7.5,7.3,7,10,8.5,0,0,1.5,1,1,0,0,5,2,5,4,5,Dry Process (Natural),Robusta,Robusta,Yes,Dry Process (Natural),Patio and Raised Bed Sun-Dried,December 2025 Arrival,40,60 KG,GrainPro Liner,,"1+ d/300gr, 14 screen - see photo",Full City to French,Farm Gate,Yes,"Nice Robusta example, but still aggressive and intensely bitter. Unsweetened baking chocolate, toasted grain, pungent whole spice, muted sweetness, low acidity, very thick body. Full City to French. Good for milk drinks.","There's nothing quite like Robusta coffee, an important detail to clarify from the drop. If you've tried it before and are back for more, you can skip this part, but all others take note! What typical Robusta coffee lacks in sweetness, it makes up for in intense bittering flavors and body. It is low in acidity, and high in caffeine content, making it a popular choice for dark roasted commercial blends. This is not ""typical"" Robusta, however. It was grown at high altitude, processed with quality in mind, and it shows. It is still incredibly intense, bittering at its core, but the mild top notes and subtle sweetness that make it so drinkable are a testament to the quality-focused efforts of this group. The fragrance and aroma at Full City/Full City+ had a scent of unsweetened cocoa (like Baker's brand), laced with savory toasted grain, and a very slight hint of fruit. I picked up on very subtle sweetness too, and accents of whole spices. The cup came off quite similar, very bitter chocolate, brothy sweetness, cooked barley, coriander, star anise, and lingering finish. Full City+ roasts had a pungent clove note that paired well with the punchy roast bittering. Single origin shots are too intense for my taste, but I think some will enjoy it under a pillow of milk. Body is seriously as thick as it gets for coffee - think heavy whipping cream - and flavors are roasted cacao nibs, leather, mesquite, and a hint of clove in the aftertaste. It would make a really nice blend base.","If you've never tasted it before, Robusta can be quite a shock. I's a distinct species of coffee altogether (""Coffea Canephora"") unrelated to Arabica, known for robust physical characteristics, high productivity, and resilience to disease and fungus. In terms of the cup, Robusta is characterized by intense bittering flavors, thick body, and low acidity. This, in conjunction with a high caffeine content, are what makes it such an attractive option for dark roasted commercial blends. There's been a push in recent years to produce ""Specialty Robusta"", both as a way of adding value to an historically undervalued crop, and also as an alternative revenue source in areas where Arabica is harder to produce. This lot comes from a quality focused effort in Flores, where a small network of Robusta collectors work with neighboring farms in Colol Village to improve harvest and post harvest practices in service of the cup. This lot was the top scoring Robusta from the harvest, and we found it to have a lot more going on than just bittering intensity, like subtle sweet notes, and whole spices. It's still very intense, and nothing like any other coffee on our list. But it's an interesting example of the direction some Robusta growers are taking, showing that by treating their Robusta crops with the care and attention they would Arabica, it makes a positive impact on the cup.",,,,,,,
Flores Wet Hulled Turelelo,https://www.sweetmarias.com/flores-wet-hulled-turelelo-8567.html,$8.25,Indonesia (Flores),"Soa District, Ngada Regency",Indonesia & SE Asia,86.5,4,7.6,8,7.3,8.2,10,8,8.2,7,10,8.2,0,0,2,2,1,0,0,5,0,5,3,5,Wet Hulled (Giling Basah),"Typica Types, Modern Hybrids","S795, Typica",Yes,Wet Hulled (Giling Basah),Patio Sun-Dried,December 2025 Arrival,20,60 KG,GrainPro Liner,Grade 1,"1 d/300gr, 16-18 Screen - expect some insect damage, partial quakers - typical for wet hulled coffee",Full City to French,Farm Gate,Yes,"A deep-toned, big-bodied wet hulled coffee, with complex earthy aroma, and low level of acidity. Dark cocoa roast bittering, pipe tobacco, aromatic wood, very long finish. Full City to French. Good for espresso.","This Flores coffee is intensely bittersweet, rustic-toned, and expresses a complex earthy side that's unique to wet hulled coffee. The ground coffee shows pungent dark cocoa and leather, while the wet aroma had caramel sweetness, with piney forest accents, and some bittering cocoa behind it. There's a rustic-toned sorghum note in the cup that peeks through immense bittersweet flavors, interspersed with earthy accents of spiced pipe tobacco, woodsy bitters (there's a Douglas Fir bitters note that specifically came to mind), and some green fresh cut wood. The finish is very long, and has foresty earth tones, and bittering dark cocoa. It's certainly worth consideration as espresso, and I've enjoyed this year's lot blended 1:1 with Brazil Dry Process coffee. The texture feels thick, like heavy whipping cream, with prominent bittersweet dark chocolate, baking cocoa bittering, and hints of leather and vanilla bean in the aromatics.","The owner of the Turelelo mill buy cherry from local collectors who act as intermediaries between small farmers from the nearby towns and the mill. Coffee in this area grows around 1400 meters, and tends to be planted in cultivars like Typica, and S795 (cross of Typica and Liberica that you can read more about here). Unlike many of our wet process Floresian coffees, this wet hulled lot shares many similarities in the cup with rustic Sumatran coffee. When roasted dark, it produced brooding low tones and earthy sweetness, low acidity, and big body. If you're a fan of wet hulled coffees, Turelelo will fit right into your rotation. We found several secondary defects, such as insect damage, pulper nicks, withered and chipped beans. All of that said, the review is based on the sample as it sat, which is to say we didn't remove any of the physical defects before roasting and cupping it (we did remove the cherry husk). If you've never tasted wet hulled coffee (aka ""giling basah""), read this primer on what to expect from these rustic-toned coffees.",,,,,,,
Flores Wolo Wio,https://www.sweetmarias.com/flores-wolo-wio-8564.html,,Indonesia (Flores),"Kampung Wolo Wio, Ngada District",Indonesia & SE Asia,87.4,2,8.5,8.5,8.3,8.5,8.8,8.4,8.5,8.5,8.4,9,0,0,3,3.5,1,0,0,4,0,0,2,4,Wet Process (Washed),Modern Hybrids,Linie-S795,Yes,Wet Process (Washed),Patio Sun-Dried,December 2025 Arrival,20,60 KG,GrainPro Liner,Grade 1,".4 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,Yes,"Weighty mouthfeel, a nice intensity overall, well balanced, with ample bittersweetness rounding out the cup. Caramel, date sugar, Snickerdoodle, round body, cocoa. City to Full City+. Good for espresso.","Wet process Indonesian coffees are often our go-to replacement when coffees from Central American are scarce. They're versatile coffees, capable of producing simple, clean cup profiles, with moderate level of sweetness and acidity, and great body. Wolo Wio definitely fits the bill! The fragrance and aroma weave together notes of cocoa and dark chocolate, with raw sugars lurking in the background. The cup has weighty mouthfeel when brewed, a nice intensity overall, well balanced, with ample bittersweetness that rounds out the profile. I found a well developed caramel note around City+, and the mild top notes that come up as the coffee cools hint at cinnamon, date sugar, and Snickerdoodle cookies. Full City roasts develop pleasantly round body, and a bittersweet undertone that resonates in the finish. Wolo Wio is versatile in terms of brewing style too, and makes a bittersweet single origin espresso option when roasted to Full City and beyond.","This lot is a blend of coffees from smallholder farmers in a few of the neighboring towns in the Ngada District of Flores, not far from Wawo Muda, the active volcano. It gets its name from Wolo Wio village (""kampung"") where the coffee was processed by a local named Leo Suri. Om Leo is a member of a nearby cooperative, Primavera, who organize coffee growers from neighboring villages in an effort to bring their coffee to the global market. He processes the cherry using a small pulper machine, then ferments the coffee for 36 hours to break down the sticky fruit mucilage that's stuck to the seeds, and then washes it away. He's built drying tables using split bamboo that are really nice for facilitating even drying because of the way they allow airflow. An interesting fact about coffee production in this region is that it's typically grown using organic methods, though the cooperative is not certified at this time.",,,,,,,
Green Coffee Subscription,https://www.sweetmarias.com/green-coffee-subscription.html,$33.50,,,Sample Sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Sample Sets,,"Stay in the green with our Green Coffee Subscription! Auto-shipped, pre-selected coffees from some of the best coffee-growing regions we offer. You can choose the frequency of shipments, and select either 4 pounds or 8 pounds per delivery. If you want to change the frequency, or cancel, it's easy to do at any time!","With our Green Coffee Subscription, you'll never have to worry about running out of fresh beans. We'll choose the coffees and arrange shipping according to a schedule that works for you. That leaves you with the fun part: roasting and brewing! It's an economical and convenient way to try coffees from around the world and explore different flavors. For more information regarding how Sweet Maria's subscriptions work, click through to the Farm Notes tab.","By purchasing a subscription, you agree to be billed in accordance with the frequency you selected. Each time you are billed, a new order will be generated. Active subscriptions can be managed any time via your account settings (My Account > My Subscriptions).",,,,,,,
Guatemala Acatenango Gesha AA,https://www.sweetmarias.com/guatemala-acatenango-gesha-aa-8405.html,$15.25,Guatemala,Acatenango,Central America,92,.5,9.2,9.6,9,9.4,8.5,9.3,9.1,9,9.4,9,4,3,4,0,3,2.5,0,1,0,0,2.5,3.5,Wet Process (Washed),Gesha,Gesha,Yes,Wet Process (Washed),Patio Sun-Dried,July 2025 Arrival,70,46 KG,GrainPro Liner,SHB,".4 d/300gr, 15-18 Screen",City to City+,Farm Gate,,"Light roasts highlight the delicate floral aroma that's made the Gesha variety so famous. Persistent cup sweetness, simple syrup, pear, persimmon, violet, jasmine pearls, Meyer lemon, and tannic tea notes. City to City+.","After cupping several process batches of Gesha from our regular source, we built two separate lots based on flavor profile, and floral intensity. They both shared the same high level of sweetness. However, this ""AA"" lot delivered a touch more fruit, elegant brightness, and floral characteristics that showed a bit more clarity. At City roast level, the dry fragrance has very refined sweetness of fragrant raw sugars, with red pear, and a floral accent. The intensity sensed in this coffee increased significantly after pouring hot water on the grounds, red honey accented by notes of graham cracker crust, bubblegum, more potent florality, and cinnamon-spiced tea. There's persistent floral characteristics in the brewed coffee that recall at violet at first, cooling to hints of freesia flowers, orange blossom, and jasmine pearl tea. It's presented with a sweet backdrop of cane sugar, refined simple syrup, and a light drizzle of honey that leads to a very sweet finish. Soft fruit tones emerge, like pear juice, ripe persimmon, Meyer lemon and a that gives the cup a juicy acidic quality. Tannic tea-like notes marked the long aftertaste, and mingled with hints of whole spices, and toasted grains in the long finish. It's important to roast this coffee light in order to highlight the floral, aromatic aspects that make Gesha coffee unique. I stick to City/City+, but no darker!","We've been a buyer of this single estate Gesha for more than a decade, and their production has grown quite a bit through the years. This year we built two separate lots from the samples we tasted, totaling 130 bags! If you don't know the story of the Gesha cultivar, it is an old coffee type from Ethiopia that was brought to an experimental coffee garden in Costa Rica years ago as a specimen sample. It was distributed to a few farms for testing on small plots, but not much was thought of it until one of these, Esmeralda in Panama, separated it from the other cultivars and entered it in the national competition. It was so outrageously different, with fruited and floral character like a Yirga Cheffe coffee from half a world away. Word traveled fast, and other farms that received some of the seed started separating their Gesha coffee as well, as is the case here. The results are always a bit different: the cultivar ""expresses"" itself differently in terms of cup flavors at each location, influenced by weather, soil, altitude and the like. And with this coffee from the region of Acatenango, we have a Gesha cup that expresses much of that floral intensity that's become synonymous with the ""Gesha"" name. We've been the sole buyer of this coffee and have chosen to keep certain farm specifics to ourselves. The farm sits on the steep slopes of Volcan Acatenango between 1600 - 1700 meters and reaps the benefits of rich volcanic soil. This farm has been in the same family for a couple generations now and they've built out an impressive wet milling facility onsite as well.",,,,,,,
Guatemala El Socorro Java Variety,https://www.sweetmarias.com/guatemala-el-socorro-java-variety-8403.html,$9.95,Guatemala,"El Socorro, Acatenango",Central America,88.3,1,8.7,8.8,9,8.8,8,8.9,8.5,8.8,8.8,9,2,3,3,0,2,2,0,2,0,0,3,2.5,Wet Process (Washed),Heirloom Types,Java,Yes,Wet Process (Washed),Patio Sun-Dried,July 2025 Arrival,70,46 KG,GrainPro Liner,SHB,".2 d/300gr,  15-17  Screen",City to City+,Farm Gate,,"Clean, transparent sweetness in the cup, with aromatic top notes that bring a sense of elegance and refinement to the flavors. Great ""Java"" character, tea-like, lightly floral, bracing citrus hints. City to City+.","This Java cultivar shows clean, transparent sweetness in the cup, and the aromatic top notes that come at City and City+ bring out an elegant side. The fragrance off the dry grounds show a scent of raw sugars laced with toasted barley green tea, vanilla malt, and a hint of spice. The sweetness in the wet aroma is perfumed with potent brown sugars, minimally processed types, such as turbinado or sucanat, and a wisp of chamomile tea. Java cultivars can be tea-like and delicate, but the cup profile is very tied to roast level. We recommend keeping your roasts to City/City+ if you're looking to highlight those aspects, which roughly correlates to 10-20 degrees F from the start of 1st Crack. If you're roasting on a Behmor, try engaging the cooling cycle at 1:00 and adjst from there. Our City roast had an underpinning of raw sugar flavors that help push the sweetness score for such a light roast. Aromatic accents give the cup a sense of refinement, notes of lemongrass tea, whole clove, and faint floral tea. The mouthfeel is crisp, with tart accents of rose hips, and lemon tea that give acidity some lift. I'd call this coffee brisk, not too bright, which suits the light body, and clean cup character.","This is a special small lot of Java variety coffee from Finca San Diego Buena Vista in El Socorro town of Acatenango. The Java cultivar originated from Ethiopia, but had stop overs in Java and Cameroon, then finally Central America. The coffee is identifiable by the elongated shape of the seeds/beans, often described as having a ""canoe"" shape. The Java cultivar is seen throughout parts of Central America, most broadly represented in Nicaragua and Guatemala. It is recognized as producing unique cup flavors, specifically exhibiting tea-like top notes, and mouth cleansing acidity. This lot shows some of those delicate notes in quiet proportion, and I had the most success in pulling them toward the front when keeping the roast to City. San Diego Buena Vista is a 1500 meter farm just outside of Antigua, who we've bought from for more than a decade now, and have gone back for their variety separations of Bourbon, Typica, and Java, year after year. On our visits, we're always impressed with their practices, the way they have separated all the cultivars on the farm, and the beautiful condition of the mill. The mill is a vintage one with amazingly well kept-up machinery and the care is evident at every turn.",,,,,,,
Guatemala Honey Process Aguacatones,https://www.sweetmarias.com/guatemala-honey-process-aguacatones-8433.html,,Guatemala,"Huehuetenango, Huehuetenango",Central America,88,.5,8.6,8.7,9,8.8,8.5,8.6,9,8.5,8.8,9,0,3.5,4,2.5,3,3,0,3.5,0,0,2.5,3.5,Honey Process,"Caturra Types, Bourbon Types","Bourbon, Caturra",Yes,Honey Process,Covered Sun-Dried on Raised Beds,August 2025 Arrival,5,69 KG,GrainPro Liner,SHB EP,".8 d/300gr, 15-17 screen",City to Full City,Farm Gate,,"Focused around brightly accented sweetness, creamy undertones with a lively top end, dark honey, brisk black tea with lemon, citrus peel, cinnamon stick, hints of dried date and strawberry. City to Full City.","For a honey process coffee, Aguacatones doesn't present the fruit-forward profile of some others. Instead, it's much more focused around brightly accented sweetness, creamy undertones and lively citrus accents. When ground, my City roast showed a very nice level of sweetness amidst the darker roast notes, dried fruit and whipped honey, baking spice, and pungent cocoa. Pouring the hot water drew out a potent caramel scent, accented by torched sugar (think brûlée crust), vanilla, and chocolate. The brew is sweet and bright from the drop, with fruit accents as it cools that never quite take over the cup. Raw sugar and dark honey notes build a nice base sweetness, accented by brisk black tea with lemon, leading to some bittering citrus peel and cocoa aspects in the mouthfeel. A hint of strawberry tacks on tartaric aspects to the acidic impression, shifting to dried date in the aftertaste, with a cinnamon stick accent in the nose. Full City roasts still show acidity, but the flavors shift to more dark-toned fruits, like dried fig, and a very slight winey hint that adds a pleasant sharpness to tangy bittersweet flavors. Bright as it may be for a Guatemalan coffee, flavors start to find balance with a few days rest off-roast, and the tart elements feel much more integrated into the flavor profile.","Los Aguacatones farm is a project by Fredy Morales of Finca Rosma, a name you are likely familiar with from our Guatemalan offer list. Unlike Rosma, which is far off in the San Pedro Necta area of Huehuetenengo Department, Aguacatones lies just at the edge of Huehue town, a convenient location near both Fredy's home and coffee warehouse. He's put a lot of work into the farm planting new varieties, and investing in the infrastructure. He's built a drip irrigation system for the hot summer months, fed by rainwater catchment and artisanal wells that capture water during the rainy season. He's also spent the last two years building out a new dry mill in his warehouse and started milling his own coffee last season. The wet mill at Aguacatones is at 1900 meters above sea level, and the coffee is planted high up on the surrounding hillside, stretching up just beyond 2000 meters. This lot was dry processed, meaning the whole cherries are dried with seeds intact. He pre-dries the coffee on raised beds outside, and then moves inside on raised tables for another 2-3 weeks. We bought Anaerobic, dry process, and honey process lots from Aguacatones this year, and we're really pleased with the contrasting fruit and bittersweet flavors that were achieved in a variety of roast levels.",,,,,,,
Guatemala San Diego Buena Vista Pink Bourbon,https://www.sweetmarias.com/guatemala-san-diego-buena-vista-pink-bourbon-8407.html,,Guatemala,"Soccoro, Acatenango",Central America,86.5,1.5,8.3,8.5,8.5,8.5,8.8,8.3,8.7,8,8.4,9,0,0,3.5,3.5,1.5,1.5,0,4,0,1,1,4,Wet Process (Washed),Bourbon Types,Pink Bourbon,Yes,Wet Process (Washed),Patio Sun-Dried,July 2025 Arrival,5,46 KG,GrainPro Liner,SHB EP,".2 d/300gr, 15-17 screen",City+ to Full City+,Farm Gate,Yes,"City+ is a good starting point, where layered sweet flavors are focused, and a pleasant acidic note brightens the cup. Butter caramel, coconut date roll, Matcha, and dark cocoa. City+ to Full City+. Good for espresso.","We found the Pink and Red Bourbon lots to be pretty close in profile, with this lot showing a bit more depth to the sweetness. City+ is a good starting point for roast level, where layered sweet flavors are focused, and a nice acidic tone accents the cup. The fragrance offered hints of raw sugars, demerara, slight spiced notes, like cinnamon sugar toast, and cocoa. Pouring hot water, the coffee had a very sweet smelling crust, sundae toppings, caramel sauce, a hint of butterscotch, with bittersweet accents. The brewed coffee showed flavors of butter caramel, and nougat, coconut date roll, and malt syrup. There's a citrus acidic note that comes through at City+, followed by some drying aspects in the finish that come off a bit like Matcha powder. Our Full City+ batch had a smoky, bittersweet chocolate profile, dark chocolate cake with roasted nibs, and much thicker body than the lighter roast. It's perfect for milk drinks, though I enjoyed the brooding cup flavors on their own quite a bit!","Acatenango is one of the under appreciated growing regions of Guatemala. It has always been overshadowed by nearby Antigua, and in fact many Acatenango coffees were sold as Antigua lots for many years. In mill-mark Antiguas, this is still the case, since farmers who sell cherries or the collectors who round it up and bring it to the mill rarely respect such boundaries. But Acatenango coffees come from some of the most beautiful farms I have seen in Guatemala, and San Diego Buena Vista (""SDBV"") is a case in point. I have visited this 1500 meter farm several times and have been impressed with their practices, the way they have separated all the cultivars on the farm, and the beautiful condition of the mill. Last time I was there, all the harvest was in, and they were reconditioning the mill, replacing bearings, cleaning and painting. Reinvestment and pride are always good signs at a mill! Cleanliness doesn't hurt either, and the SDBV mill, while quite old, was beautiful, even down to the flowers surrounding the office alongside the drying patio. This is a Pink Bourbon separation from the farm, which gets its name from the pinkish coloring of the cherry, often looking a little more orange than pink (though not as orange as ""Orange Bourbon"" - yes, really!). There's been genetic testing that's linked samples of this variety to Ethiopian landrace, though it's still quite likely related to Bourbon. The genetic distinction between Bourbon, Typica, and Ethiopian types is very subtle.",,,,,,,
Hawaii Kona Darnall Estate Typica,https://www.sweetmarias.com/hawaii-kona-darnall-estate-typica-8489.html,$37.50,USA (Hawaii),"Holualoa, Kona",North America,88,2.5,8.5,8.8,8.2,8.6,8.7,8.5,8.4,8.5,8.3,9,0,0,3.5,1,1,1,0,2.5,0,0,1.5,3.5,Wet Process (Washed),Typica Types,Typica,Yes,Wet Process (Washed),Patio Sun-Dried and Mechanical Dryer,November 2025 Arrival,17,100 LB,GrainPro Liner,18 Screen Fancy,".2 d/300gr, 18 screen","City to Full City, with the lighter end of that spectrum leading to a more bright toned profile",Farm Gate,,"Balanced sweetness opens up to subtle bright tones, and top note hints that are elegant and clean. Raw sugar, brown malt, rose hip tea, herbal accents, and a pleasantly bittersweet finish. City to Full City.
*4 lbs per customer.
More on Kona coffee and the Darnall Estate here.","The fascination with ""Kona"" coffee is easy to understand. It's grown in the United States, for one. But it also evokes nostalgia for countless vacationers looking to bring a piece of their tropical vacation back home to the mainland. We love Hawaiian coffee too, but let's face it, a lot of what you're served on the island is often stale, roasted poorly, or both. Here's your chance to buy high quality Kona green, and roast it fresh! This lot from Darnall Estate has balanced sweetness that opens up to soft bright tones as it cools, with top note hints that are elegant and clean. The dry fragrance has sweet caramel and unrefined sugar notes, with a touch of baking spices, and herbal tea. Hot water brings on deeper sweet notes with some tartness behind them, like brown sugar with a lemon spritz, along with a scent of Assam black tea when breaking through the crust. The cup flavors are well-balanced, with notes of raw sugar and brown malt, and hints of rose hip tea, citrus, a green herbal hint, and pleasantly bittersweet finish. I found this real ""sweet spot"" in the City to City+ range, which is what this review is based off of. But we've pulled great espresso shots, even with some of our lighter roasts (price is the only reason we haven't tagged this coffee as ""good for espresso""). Jarrett and Mike pulled shots 3 days off-roast, and noted molasses sweetness, with hints of date, savory spice, and malic-type acidity that pointed to Asian pear. Mild island coffees like this, moderate in acidity and so well-balanced, are a great choice for un-blended espresso experiments.","Kona Coffee is grown on the western slopes of the Big Island of Hawaii near the active volcanoes Mauna Loa and Hualalai. That's where you'll find Pam and Ted Darnall's coffee estate, above the small coastal village of Holualoa. The 42 acre Darnall estate is planted in Typica, a variety so common in Kona that it's synonymous with the ""Kona"" name. While the Typica grown today can be traced back to the late 1800's by way of Guatemala, coffee was first introduced to Kona in the 1820's from Brazil. It wasn't long after this that Pam's great grandfather established agricultural roots in the Kona region farming cattle, pineapple, and eventually coffee. According to Ted and Pam, ever since they started dating, they've dreamed of carrying on the family tradition. They finally fulfilled this dream in 2023 when the current farm site went up for sale. The original owners did not process their own cherries, instead selling to a local wholesaler, which is quite common. The Darnalls have decided to take a more hands-on approach, establishing the ""Darnall Estate"" name by managing the harvest and processing the coffee themselves, and selling direct. This cups like a wet process coffee, though technically the process style is more like a wet process/honey hybrid. They depulp the cherry and most of the fruit, soak the seeds in tanks for a day, and then move it to the drying patio.",,,,,,,
Honduras FTO Marcala WP Decaf,https://www.sweetmarias.com/honduras-fto-marcala-wp-decaf-8615.html,$9.45,Honduras,"Marcala, La Paz",Central America,87.2,1.5,8.3,8.4,8.7,8.5,8,8.3,8.5,8.5,8.5,10,0,0,2.5,2.5,1,0,0,2.5,2,0,0,3,Water Process Decaf,"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids","Bourbon, Catuai, Caturra, Lempira, Ihcafe 90, Pacas, and Typica",No,Water Process Decaf,,April 2026 Arrival,40,60 KG,Jute Bag,Water Process Decaf,"1+ d/300gr, 15-17 Screen  - some broken and misshaped beans due to decaffeination",City to Full City,"Organic/Fair Trade Cert., Decaf",,"This Honduras lot flies under the radar as being decaf coffee, especially in light roasts where clean sweetness and sparkling acidity really shine! Notes of raw sugar, tangerine, Meyer lemon, and crisp, light body. City to Full City.","This Honduras lot flies under the radar as being decaf coffee, especially in light roasts where clean sweetness and sparkling acidity really shine! The dry fragrance shows simple sweet smells, which open up a bit when you add hot water to the grounds. The steam showed elements of molasses and maltose sweetener, along with hints of toasted grains and nuts. The brew shows clean, sweet flavors, accented by notes of raw sugars and crisp fruit, and a pleasant bittersweet aftertaste. It has modest acidity when kept to a lighter roast level, fruited in a way, like peach or apricot. Body is on the light side, and suits the light, crisp flavors. It's sure to please the light roast crowd, but also offers a and an easy decaf to drink more than 1 cup!","This Honduras lot is from the Organic certified COMSA cooperative (Café Organico Marcala, S.A.), located in a southwestern municipality of Marcala, La Paz. The cooperative currently has around 1200 members in areas surrounding Marcala, with farms scattered across an altitude range of 1,300 to 1,700 meters above sea level. It's been a while since we had a Honduras coffee as a decaf, but this was one we couldn't pass up. It has the bright characteristics and balanced flavors that high grown Central American coffees are known for, and the cup clarity struck as as remarkably ""un-decaf"" in flavor. It was processed with a decaffeination method that utilizes steam to remove nearly 100% of the caffeine from coffee. The plant in Mexico where this coffee was processed has a reputation for producing a decafs that closely resemble the original non-decaf lots, which this coffee can attest to!",,,,,,,
Honduras Maria Isabel Parainema,https://www.sweetmarias.com/honduras-maria-isabel-parainema-8555.html,$9.65,Honduras,"Las Flores, Santa Barbara",Central America,88,.5,8.5,8.7,8.9,8.7,8.5,8.7,8.8,9,8.7,9,1,0,4,3,2.5,2.5,0,3.5,0,0,2.5,3.5,Wet Process (Washed),Modern Hybrids,Parainema,Yes,Wet Process (Washed),Raised Bed Sun-Dried,December 2025 Arrival,10,69 KG,GrainPro Liner,SHG,".2 d/300gr, 16-18 Screen",City to Full City,Farm Gate,,"Impressive acidity plays off long lasting sweetness, brown sugars, aromatic accents, mouth refreshing lemongrass tea, hints of fruit and chamomile. Light roasts make a fantastic pour over. City to Full City.","This Parainema variety from Maria Fernandez brings balanced flavors and aromatic accents at a wide range of roasts, with subtle vibrance at the lighter end of the spectrum, and pleasant bittersweet layers when roasted dark. The fragrance of City roasts show a very nice brown sugar scent, with light fruited accents of pear and peach. The wet aroma has a sticky dark caramel note, with dried fruit, and herbal accents of spearmint and sage. Brewing a light roast, the coffee shows impressive brightness right from the get go. It comes off a bit like lemongrass tea when the coffee is hot, brisk and mouth refreshing, and offers the perfect counterpoint to an underpinning of brown sugar notes that holds on through the finish. As it cooled, faint fruit suggestions start to stack up, like fruit compote, apricot, and a sharp citrus accent. The finish also had some more delicate hints, like chamomile flower, and fresh rosemary. Full City roasts had a straight-ahead bittersweetness that pairs well with the creamy body that comes with deeper roast development. There's a range of chocolate flavors and impressive level of sweetness, milk chocolate up front fading to punchy dark cocoa powder, and bittering baking chocolate in the finish.","Maria Fernandez grew up working the fields of her family coffee farm with her father. These days, she had her husband cultivate coffee with children of their own, passing on all they know so that their kids will be equipped to take over one day should they choose to do so. In 2013, an opportunity presented itself for Maria to buy a portion of her original family farm. She didn't pass this up, and wound up renovating the 2 hectare parcel of land with a variety that was relatively new to Honduras at that time, Parainema. Her initial decision to plant Parainema was based off the attractive size and appearance (it's a dwarf hybrid, making it easy to pick). The fact that it showed disease resistance to leaf rust and other nematode infestations only sweetened the deal. Ironically, when the coffee plantings had their first harvest three years later, Maria's neighbor submitted their own Parainema separation to the Cup of Excellence competition and wound up taking 1st place! What may have seemed like a stroke of luck sent Maria and her husband down the path of producing Specialty Coffee. The Fernandez' farm is called ""El Cipres"" after the shade trees common to the region. Altitude is 1,500 meters above sea level, and all 1.75 hectares are planted in Parainema. The Fernandez family has been working with Beneficio San Vicente to improve their harvest/post-harvest practices, as well as improve their connection to the market.",,,,,,,
